"case_id","abbrev","signal_density","group_label"
41,"SI",8639327.60103,"cue"
41,"LS",10561601.3289,"cue"
41,"SF",10267966.3866,"cue"
41,"CP",9592825.53551,"cue"
41,"ACB",12673990.3433,"cue"
41,"FS",11450359.7561,"cue"
41,"OT",5823201.46277,"cue"
41,"AAA",12133812,"cue"
41,"BA",11276275.8621,"cue"
41,"CEA",10979055.4529,"cue"
41,"IA",18296475,"cue"
41,"MEA",10647636.8078,"cue"
41,"HIP",6945474.80187,"cue"
41,"RHP",5988542.73043,"cue"
41,"ACA",16247916.8365,"cue"
41,"AI",12450041.3912,"cue"
41,"AUD",16691651.4965,"cue"
41,"ECT",12478321.3166,"cue"
41,"FRP",8807671.82663,"cue"
41,"GU",16763338.3356,"cue"
41,"ILA",12079717.0868,"cue"
41,"MO",12779488.9122,"cue"
41,"ORB",14190471.6382,"cue"
41,"PERI",9153688.04159,"cue"
41,"PL",13487172.4138,"cue"
41,"PTLp",22241987.5996,"cue"
41,"RSP",14551252.7228,"cue"
41,"SS",18486258.1249,"cue"
41,"TEa",12076679.3184,"cue"
41,"VIS",19503513.9039,"cue"
41,"VISC",17576093.5006,"cue"
41,"AOB",5169500,"cue"
41,"AON",7364194.4186,"cue"
41,"COA",9052412.27229,"cue"
41,"DP",7743009.90099,"cue"
41,"MOB",9209892.30769,"cue"
41,"NLOT",13667065.3595,"cue"
41,"PAA",7518241.75824,"cue"
41,"PIR",10859067.2515,"cue"
41,"TR",7069304.44444,"cue"
41,"TT",9110891.85185,"cue"
41,"BLAa",10987975.976,"cue"
41,"BLAp",8329321.29964,"cue"
41,"BLAv",12798377.193,"cue"
41,"BMA",15431957.9832,"cue"
41,"CLA",25475934.4978,"cue"
41,"EPd",14887167.9487,"cue"
41,"EPv",16338707.0707,"cue"
41,"LA",6942174.24242,"cue"
41,"PA",8411177.77778,"cue"
42,"ACVII",5528000,"control"
42,"GRN",1914080.24691,"control"
42,"IRN",1560237.70492,"control"
42,"MARN",2030000,"control"
42,"PARN",1417524.75248,"control"
42,"VI",2423625,"control"
42,"VII",2841703.53982,"control"
42,"VNC",4224370.12987,"control"
42,"CN",2536059.07173,"control"
42,"NTB",4691742.85714,"control"
42,"B",16473857.1429,"control"
42,"DTN",15657433.3333,"control"
42,"PCG",16897976.4151,"control"
42,"PG",43375033.7838,"control"
42,"PRNc",18649804.1775,"control"
42,"SG",1074833.33333,"control"
42,"SUT",16572861.5385,"control"
42,"TRN",29017650,"control"
42,"V",6272040.81633,"control"
42,"CS",20128772.2222,"control"
42,"LC",7107166.66667,"control"
42,"LDT",23474948.7179,"control"
42,"NI",33334097.561,"control"
42,"PRNr",14015412.0603,"control"
42,"SLC",30775000,"control"
42,"SLD",32407566.6667,"control"
42,"NLL",2573238.68313,"control"
42,"PB",12190680.597,"control"
42,"PSV",11290008.6768,"control"
42,"SOC",3213817.56757,"control"
42,"LHA",12212129.9094,"control"
42,"LPO",10374508.3532,"control"
42,"PST",14429000,"control"
42,"PSTN",5867789.47368,"control"
42,"RCH",1244836.53846,"control"
42,"STN",12183696.4286,"control"
42,"TU",2689421.2963,"control"
42,"ZI",33303646.6942,"control"
42,"AHN",12977520.3762,"control"
42,"MBO",6231164.59627,"control"
42,"MPN",3369123.59551,"control"
42,"PH",23585990.0662,"control"
42,"PMv",5699755.10204,"control"
42,"PVHd",11207526.3158,"control"
42,"VMH",1475277.77778,"control"
42,"ADP",7616666.66667,"control"
42,"AVP",1701523.80952,"control"
42,"AVPV",1632560,"control"
42,"DMH",9996753.84615,"control"
42,"MEPO",4002206.34921,"control"
42,"MPO",5030483.05085,"control"
42,"PD",8852000,"control"
42,"PS",7901583.33333,"control"
42,"PVp",568377.358491,"control"
42,"PVpo",1942093.75,"control"
42,"SBPV",10056600,"control"
42,"SFO",1051750,"control"
42,"VLPO",2327500,"control"
42,"ARH",165956.989247,"control"
42,"PVH",4628474.74747,"control"
42,"PVa",5406000,"control"
42,"PVi",2657270.27027,"control"
42,"SO",3835250,"control"
42,"ATN",11398737.6587,"control"
42,"EPI",4556553.67232,"control"
42,"GENv",34091535.4839,"control"
42,"ILM",13159410.1877,"control"
42,"LAT",7406936.64596,"control"
42,"MED",8082166.66667,"control"
42,"MTN",18461182.5726,"control"
42,"RT",3869594.59459,"control"
42,"GENd",8529007.65306,"control"
42,"PP",16871625,"control"
42,"SPA",15306000,"control"
42,"SPF",20303878.0488,"control"
42,"VENT",12950584.6743,"control"
42,"CUN",8153286.95652,"control"
